"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","71/1488","339/18805",0.209439528023599,2.64684833634662,8.96927412233129,2.09997177021736e-14,5.48838913122658e-11,4.49162962158539e-11,"MELTF/SLC2A10/COL27A1/FOXC1/MIA/CREB3L1/TMEM38B/GPM6B/THSD4/FGFR4/PHLDB2/PTX3/NTN4/FSCN1/POSTN/COL10A1/MMP7/RB1/TPSAB1/ADAMTS12/COL1A1/COL5A1/CTSV/FAP/NPNT/FERMT1/GREM1/COL5A2/CCDC80/LUM/COL3A1/ADAMTS2/COL13A1/ADAMTS15/MIR18A/COL4A5/CTSK/AEBP1/COL12A1/FMOD/LOXL4/SULF1/COL9A3/COL22A1/COL1A2/NID2/PRICKLE1/CSGALNACT1/MMP2/SFRP2/HMCN1/FOXC2/DPT/MMP11/MMP10/SERPINB5/LOX/ECM2/ANTXR1/MMP12/TGFBR3/COL8A1/FBLN1/KLK7/SLC39A8/MMP3/PXDN/KLK5/COL2A1/COL11A1/IBSP",71
"GO:0043062","GO:0043062","extracellular structure organization","71/1488","340/18805",0.208823529411765,2.63906348829855,8.94027416071964,2.45464547517055e-14,5.48838913122658e-11,4.49162962158539e-11,"MELTF/SLC2A10/COL27A1/FOXC1/MIA/CREB3L1/TMEM38B/GPM6B/THSD4/FGFR4/PHLDB2/PTX3/NTN4/FSCN1/POSTN/COL10A1/MMP7/RB1/TPSAB1/ADAMTS12/COL1A1/COL5A1/CTSV/FAP/NPNT/FERMT1/GREM1/COL5A2/CCDC80/LUM/COL3A1/ADAMTS2/COL13A1/ADAMTS15/MIR18A/COL4A5/CTSK/AEBP1/COL12A1/FMOD/LOXL4/SULF1/COL9A3/COL22A1/COL1A2/NID2/PRICKLE1/CSGALNACT1/MMP2/SFRP2/HMCN1/FOXC2/DPT/MMP11/MMP10/SERPINB5/LOX/ECM2/ANTXR1/MMP12/TGFBR3/COL8A1/FBLN1/KLK7/SLC39A8/MMP3/PXDN/KLK5/COL2A1/COL11A1/IBSP",71
"GO:0045229","GO:0045229","external encapsulating structure organization","71/1488","341/18805",0.208211143695015,2.6313242991833,8.91137782633092,2.86699763079919e-14,5.48838913122658e-11,4.49162962158539e-11,"MELTF/SLC2A10/COL27A1/FOXC1/MIA/CREB3L1/TMEM38B/GPM6B/THSD4/FGFR4/PHLDB2/PTX3/NTN4/FSCN1/POSTN/COL10A1/MMP7/RB1/TPSAB1/ADAMTS12/COL1A1/COL5A1/CTSV/FAP/NPNT/FERMT1/GREM1/COL5A2/CCDC80/LUM/COL3A1/ADAMTS2/COL13A1/ADAMTS15/MIR18A/COL4A5/CTSK/AEBP1/COL12A1/FMOD/LOXL4/SULF1/COL9A3/COL22A1/COL1A2/NID2/PRICKLE1/CSGALNACT1/MMP2/SFRP2/HMCN1/FOXC2/DPT/MMP11/MMP10/SERPINB5/LOX/ECM2/ANTXR1/MMP12/TGFBR3/COL8A1/FBLN1/KLK7/SLC39A8/MMP3/PXDN/KLK5/COL2A1/COL11A1/IBSP",71
"GO:0031589","GO:0031589","cell-substrate adhesion","73/1488","361/18805",0.202216066481994,2.55555989932386,8.74788452435141,5.94360175577315e-14,8.53352622085129e-11,6.98373206303345e-11,"AGR2/MELTF/CEACAM6/FZD4/PXN/PRKX/GPM6B/ITGB8/SPRY4/SNED1/FZD7/PHLDB2/SFRP1/CDKN2A/KIF14/GCNT2/NTN4/PIK3R1/ITGA3/PARVB/KANK1/BRAF/POSTN/EPB41L5/ITGB5/LIMCH1/ADAMTS12/COL1A1/TTYH1/HACD1/NPNT/ITGB6/APOD/FERMT1/GREM1/SRCIN1/MSLN/ITGA11/THY1/CDH11/CCDC80/ITGBL1/SPOCK1/COL3A1/EPHB1/FAM107A/COL13A1/FN1/EPHB3/NID2/THBS1/CDK6/FGB/FGG/PLAU/CTTN/SERPINE1/PTK2/FAT2/ANGPT1/ECM2/ANTXR1/MMP12/ITGA9/COL8A1/ITGA10/FBLN1/FERMT2/EDIL3/EFNA5/LYPD3/ONECUT2/GBP1",73
"GO:0071559","GO:0071559","response to transforming growth factor beta","60/1488","315/18805",0.19047619047619,2.40719406041987,7.38296947888838,1.35502795420162e-10,1.55638510819598e-07,1.27372627694953e-07,"SLC2A10/XBP1/PPARA/SPRED2/PXN/FGFR2/TGFB3/ITGB8/FUT8/SFRP1/ZNF703/SPRY1/PDCD5/NLK/GCNT2/ITGA3/IL17RD/APPL2/POSTN/EPB41L5/ITGB5/COL1A1/FBN1/TSC22D1/NPNT/HTRA1/ITGB6/ZFHX3/FERMT1/RUNX3/SOX6/ZEB1/TET1/NFKBIZ/LTBP2/COL3A1/HTRA3/MIR18A/CTSK/FMOD/COL1A2/NFATC1/THBS1/GDF15/SOX11/ASPN/PTK2/PMEPA1/LRG1/FOS/CILP/DKK3/LOX/DNM3OS/CDH3/TGFBR3/TGFB1I1/FERMT2/ONECUT2/FOLR1",60
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","58/1488","308/18805",0.188311688311688,2.37983958246055,7.15720682571596,4.35605807420081e-10,4.16947358668921e-07,3.4122454914573e-07,"SLC2A10/XBP1/PPARA/SPRED2/PXN/FGFR2/TGFB3/ITGB8/FUT8/SFRP1/ZNF703/SPRY1/PDCD5/NLK/GCNT2/ITGA3/IL17RD/APPL2/POSTN/EPB41L5/ITGB5/COL1A1/FBN1/TSC22D1/NPNT/HTRA1/ITGB6/FERMT1/SOX6/ZEB1/TET1/NFKBIZ/LTBP2/COL3A1/HTRA3/MIR18A/CTSK/FMOD/COL1A2/NFATC1/THBS1/GDF15/SOX11/ASPN/PTK2/PMEPA1/LRG1/FOS/CILP/DKK3/LOX/DNM3OS/CDH3/TGFBR3/TGFB1I1/FERMT2/ONECUT2/FOLR1",58
"GO:0030199","GO:0030199","collagen fibril organization","23/1488","69/18805",0.333333333333333,4.21258960573477,7.83667100392222,1.333910866536e-09,1.09437858664518e-06,8.95625867531317e-07,"FOXC1/RB1/ADAMTS12/COL1A1/COL5A1/GREM1/COL5A2/LUM/COL3A1/ADAMTS2/AEBP1/COL12A1/FMOD/LOXL4/COL1A2/SFRP2/FOXC2/DPT/MMP11/LOX/PXDN/COL2A1/COL11A1",23
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","45/1488","224/18805",0.200892857142857,2.53883748559908,6.79160599374797,4.95458869935612e-09,3.55677536255028e-06,2.91082086087172e-06,"AGR2/MELTF/CEACAM6/FZD4/GPM6B/SPRY4/FZD7/PHLDB2/SFRP1/CDKN2A/GCNT2/PIK3R1/ITGA3/KANK1/BRAF/POSTN/EPB41L5/LIMCH1/COL1A1/HACD1/NPNT/APOD/FERMT1/GREM1/THY1/CCDC80/SPOCK1/FAM107A/FN1/THBS1/CDK6/FGB/FGG/PLAU/SERPINE1/PTK2/ECM2/MMP12/COL8A1/FBLN1/FERMT2/EDIL3/EFNA5/ONECUT2/GBP1",45
"GO:0141091","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","66/1488","399/18805",0.165413533834586,2.09045799983831,6.45365790017778,7.38382128408186e-09,4.71169840383134e-06,3.85599555946497e-06,"SLC2A10/RGMA/XBP1/PPARA/TFAP2B/SPRED2/PXN/TGFB3/ITGB8/FUT8/NFIA/SFRP1/ZNF703/SPRY1/NLK/GCNT2/ITGA3/IL17RD/APPL2/MSX2/SORL1/ITGB5/TOB1/ACVR2A/FBN1/TSC22D1/NPNT/HTRA1/RGMB/ITGB6/FERMT1/GREM1/ZEB1/TET1/LTBP2/COL3A1/HTRA3/MIR18A/FMOD/SULF1/COL1A2/INHBB/THBS1/GDF15/SOSTDC1/SOX11/SFRP2/DLX5/PCSK6/ASPN/PTK2/PMEPA1/LRG1/FOS/CILP/DKK3/LOX/CDH3/SFRP4/TGFBR3/TGFB1I1/DKK1/FERMT2/FOXD1/ONECUT2/FOLR1",66
"GO:0001503","GO:0001503","ossification","72/1488","458/18805",0.157205240174672,1.98672348218059,6.26665708678014,1.39811645919628e-08,8.02938282516421e-06,6.5711473582225e-06,"TP53INP2/ADGRV1/FOXC1/ENPP1/CREB3L1/TMEM38B/WWTR1/FGFR2/AKT1/GPM6B/FASN/SFRP1/ECM1/ATP2B1/SOX8/ALYREF/NAB1/VEGFC/TNC/TFAP2A/MSX2/GLI3/PTCH1/TOB1/ACVR2A/PTPRB/ADAMTS12/COL1A1/VCAN/NPNT/GREM1/RUNX3/COL5A2/ITGA11/CDH11/LOC102724560/TRPM4/COL13A1/MIR18A/CBS/CTSK/SLC26A2/CCN4/COL1A2/AREG/CDK6/PRICKLE1/CSGALNACT1/MMP2/SOX11/SFRP2/FOXC2/ID4/DLX5/ASPN/PTK2/IGFBP5/SIX2/LOX/EGFR/CLEC3A/GRP/IGFBP2/RYR1/SOX2/DKK1/OSR1/FERMT2/COL2A1/COL11A1/IBSP/IGF2",72
"GO:0007178","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","68/1488","427/18805",0.159250585480094,2.01257208330186,6.20413189478806,2.09713555754544e-08,1.09272740054769e-05,8.94274557300042e-06,"SLC2A10/RGMA/XBP1/PPARA/TFAP2B/SPRED2/PXN/WWTR1/TGFB3/ITGB8/FUT8/NFIA/SFRP1/ZNF703/SPRY1/NLK/GCNT2/ITGA3/IL17RD/APPL2/MSX2/SORL1/ITGB5/TOB1/ACVR2A/TTK/FBN1/TSC22D1/NPNT/HTRA1/RGMB/ITGB6/FERMT1/GREM1/ZEB1/TET1/LTBP2/COL3A1/HTRA3/MIR18A/FMOD/SULF1/COL1A2/INHBB/THBS1/GDF15/SOSTDC1/SOX11/SFRP2/DLX5/PCSK6/ASPN/PTK2/PMEPA1/LRG1/FOS/CILP/DKK3/LOX/CDH3/SFRP4/TGFBR3/TGFB1I1/DKK1/FERMT2/FOXD1/ONECUT2/FOLR1",68
"GO:0048762","GO:0048762","mesenchymal cell differentiation","50/1488","275/18805",0.181818181818182,2.2977761485826,6.35504578498293,2.28325418885117e-08,1.09272740054769e-05,8.94274557300042e-06,"FOXA1/FOXC1/SPRED2/WWTR1/FGFR2/LRP6/TGFB3/PHLDB2/SFRP1/ZNF703/SPRY1/GATA3/SOX10/GCNT2/SEMA3C/SOX8/IL17RD/MSX2/KITLG/EPB41L5/SEMA4B/COL1A1/NRTN/RET/TBX3/GREM1/GLIPR2/ERBB4/SP6/MIR18A/EDNRA/FN1/CDH2/SFRP2/FOXC2/SEMA6D/PTK2/LRG1/SIX2/SEMA5A/HEY2/SEMA6A/TGFBR3/TGFB1I1/OSR1/FERMT2/RDH10/PAX6/FOLR1/SIX1",50
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","47/1488","252/18805",0.186507936507937,2.35704418416112,6.35736936247932,2.65836186021e-08,1.17438247409123e-05,9.61100057152846e-06,"SLC2A10/XBP1/PPARA/SPRED2/PXN/TGFB3/ITGB8/FUT8/ZNF703/SPRY1/NLK/GCNT2/ITGA3/IL17RD/APPL2/ITGB5/FBN1/TSC22D1/NPNT/HTRA1/ITGB6/FERMT1/ZEB1/TET1/LTBP2/COL3A1/HTRA3/MIR18A/FMOD/COL1A2/THBS1/GDF15/SOX11/ASPN/PTK2/PMEPA1/LRG1/FOS/CILP/DKK3/LOX/CDH3/TGFBR3/TGFB1I1/FERMT2/ONECUT2/FOLR1",47
