"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez"
"210930_s_at",6.24445863544226,5.24721646199475,30.6164253547311,2.6280460842048e-50,1.07760401636734e-45,101.09672005207,"ERBB2","2064"
"216836_s_at",5.29493036450648,11.4089940021023,26.0992884311802,1.55195729242993e-44,3.18182284093983e-40,88.9895440311749,"ERBB2","2064"
"210761_s_at",5.3649056495282,8.35089085806812,24.1297158062117,8.95475596826771e-42,1.22393604574283e-37,83.088305560313,"GRB7","2886"
"224447_s_at",4.19407372343309,10.8647304133235,23.9358846216973,1.70876846326789e-41,1.75165855169591e-37,82.4850783477182,"MIEN1","84299"
"221811_at",3.96408880173579,7.25268205664981,20.4394528520047,3.91180123905454e-36,3.20798996012385e-32,70.8562064672766,"PGAP3","93210"
"202991_at",3.97404077317434,8.18156372450006,20.0694708901485,1.56457177126994e-35,1.06922834848588e-31,69.5384026570425,"STARD3","10948"
"55616_at",5.18706237789092,8.07723089827319,19.7109634774205,6.08769306146772e-35,3.56599666132032e-31,68.244742643811,"PGAP3","93210"
"226961_at",4.67264808770666,5.02197349427701,17.3568141156841,6.73371427088913e-31,3.45136524954423e-27,59.3293166874312,"PRR15","222171"
"237086_at",6.43741927175747,5.18571056461814,16.6885206745027,1.0742393263826e-29,4.40481093389921e-26,56.6623396165879,"FOXA1","3169"
"234354_x_at",3.58836430322744,3.96141087076518,15.8904372553474,3.16120294221217e-28,1.17838150402244e-24,53.3975938393101,"ERBB2","2064"
"226192_at",6.01750826658468,6.07568152217488,15.3724654738046,2.9639962099938e-27,1.01279750495488e-23,51.232381922803,"AR","367"
"218211_s_at",5.8578597593852,6.26556248894015,15.1021408688618,9.66041601661413e-27,3.04704383342497e-23,50.0880172651565,"MLPH","79083"
"229964_at",5.23665512936997,4.60282928328025,15.0618168748029,1.15312779227681e-26,3.17630682344038e-23,49.9164754066625,"C9orf152","401546"
"226197_at",5.90133080466376,4.80508046389839,15.0600818123069,1.16195011100394e-26,3.17630682344038e-23,49.9090894278192,"AR","367"
"209173_at",8.17068707075678,6.05954065839135,14.9786681315566,1.66221240840229e-26,4.25983484963297e-23,49.5620689203136,"AGR2","10551"
